"sites","mean"
"abrolhos_1",25.9122392977185
"aceh_1",28.9117573067497
"aceh_2",28.936658724506
"aceh_4",28.9575021050193
"aceh_5",28.9640574011327
"ailuk_atoll_1",27.914388751148
"ailuk_atoll_2",27.9188602756697
"ailuk_atoll_3",27.9030442963816
"ambon_1",28.4905524891021
"arraial_1",23.4557881036698
"austral_islands_1",25.4867491586315
"bahamas_1",27.0075952398294
"bahamas_2",26.8466478078284
"bali_1",28.8370092126652
"belize_1",27.8909413305326
"belize_2",28.0293668358376
"belize_3",28.004536609399
"bocas_del_toro_1",28.0011576498978
"bocas_del_toro_2",28.0246187755338
"bocas_del_toro_3",28.0173542611831
"bonaire_1",27.3918449573162
"bonaire_2",27.4259413450728
"bonaire_3",27.4495722247371
"cambodia_1",29.0445448127529
"capricorn_group_1",24.184774919512
"capricorn_group_2",24.5154977978125
"capricorn_group_4",24.2829156616562
"capricorn_group_6",24.4373871849244
"capricorn_group_7",24.225642939648
"capricorn_group_8",24.5546325253239
"central_coral_sea_1",26.1137589933055
"central_coral_sea_10",26.6463411421008
"central_coral_sea_12",26.5582934966615
"central_coral_sea_13",26.5311576758653
"central_coral_sea_14",26.4813521083318
"central_coral_sea_15",26.4639725711233
"central_coral_sea_16",26.4322228416033
"central_coral_sea_17",26.5141642592431
"central_coral_sea_18",26.52524038108
"central_coral_sea_19",26.8181976373721
"central_coral_sea_2",26.1104484737768
"central_coral_sea_20",26.9018394954886
"central_coral_sea_21",26.7632934809515
"central_coral_sea_22",26.954440822476
"central_coral_sea_23",26.1798981001186
"central_coral_sea_3",26.1433783820529
"central_coral_sea_4",26.7173186549743
"central_coral_sea_5",26.690106195009
"central_coral_sea_6",26.6907332531071
"central_coral_sea_7",26.7387863699212
"central_coral_sea_8",26.6732496766114
"central_coral_sea_9",26.6525897744713
"central_gbr_1",26.4693531744582
"central_gbr_10",26.2953827634437
"central_gbr_11",26.4017190061028
"central_gbr_12",25.6929183721804
"central_gbr_13",25.5430607722597
"central_gbr_16",26.2966971193713
"central_gbr_18",26.3826034620061
"central_gbr_19",26.4582989698955
"central_gbr_2",26.5672118974542
"central_gbr_20",26.2346407090194
"central_gbr_21",25.6795831974861
"central_gbr_24",26.4648843850912
"central_gbr_25",26.4698898867997
"central_gbr_26",26.5116971110984
"central_gbr_27",26.5471434305949
"central_gbr_3",26.5146516620264
"central_gbr_5",26.582288566581
"central_gbr_6",26.4428854834733
"central_gbr_7",26.6129293138853
"central_gbr_9",26.2810947150808
"christmas_island_1",27.7325076001889
"christmas_island_2",27.734670771696
"clipperton_1",27.8713137589044
"cocos_1",27.6342135123329
"coiba_1",28.4539232499498
"coiba_10",28.1277293777675
"coiba_11",28.1277293777675
"coiba_12",28.1114506590928
"coiba_13",28.356768258169
"coiba_14",28.2836275262613
"coiba_16",28.1685590686568
"coiba_2",28.376461597288
"coiba_3",28.3056237073483
"coiba_4",28.3445311433514
"coiba_5",28.4684769305577
"coiba_6",28.4762014538409
"coiba_7",28.2984960901776
"coiba_8",28.3100486606
"coiba_9",28.232929274652
"colima_mex_tep_1",27.7201089148715
"colima_mex_tep_2",27.6477923748397
"cook_islands_1",26.8530771437245
